language,director,plot,plot_length,sentiment_polarity,sentiment_subjectivity,type_token_ratio,avg_word_length,unique_word_count,pos_noun_ratio,pos_verb_ratio,pos_adj_ratio,entity_count,flesch_kincaid,lda_topic_0,lda_topic_1
Telugu,KS Ravikumar,ajay nagarjuna akkineni adman director actor definite idea future wife gets married village belle kamakshi simran bagga handpicked mom native town kovvuru marriage kamakshi meets hairline fracture entire family kamakshi lands ajays house take care kamakshi beautiful greedy sister called lahari reema sen period suma suman ranganathan regular model ajay meets fracture lahari replaces model opposite ajay moment lahari gets lured modeling profession falls love ajay ajay feelings kamakshi gets well family returns village lahari tells kamakshi desire marry ajay kamakshi gets mad returns home husband meanwhile lahari attempts suicide kamakshi close lahari promises lahari get married ajay rest film ajay manages save marriage without hurting lahari gets back kamakshi,110,0.11136363636363637,0.4024475524475525,0.6909090909090909,5.990909090909091,76,0.33636363636363636,0.18181818181818182,0.1,12,48.6,0.09231374346721784,0.9076862565327821
South_Korean,Unknown,seoul 2004 group bikers joyriding streets leader teenage han kisu lee minki tearfully berated girlfriend chunshim kang yewon scorning biker kim myungshik kim inkwon attracted chunshim watches dolefully following heavy traffic kisu executes perfect bike jump six years later kisu working bike messenger delivering package office building blows leaves kisu doesnt think package connected blast kisu later asked drive ahrom lead vocalist girl group ok girls televised stadium concert late surprise finds actually chunshim still angry treated years earlier offers helmet unaware switched identical one rigged explosive kisu receives phone call told deliver three packages already stowed bike 30minute delivery time package exceed time limit chunshim tries take helmet explode meanwhile police led detective seo ko changseok npcc team leader kim ju jinmo examine cctv tape building exploded believe kisu potentially bomber kisu delivers chunshim concert time performs helmet two start make deliveries hunted police trying figure responsible bombings driving seoul incheon,152,0.04375,0.42187500000000006,0.8092105263157895,6.019736842105263,123,0.32679738562091504,0.21568627450980393,0.06535947712418301,17,63.8,0.08518086509467883,0.9148191349053212
Japanese,Unknown,film opens sunken ship shark swimming octopus lands head next mermaid merman tribe destroys another planet looking mermaid tribe nobitas mother tells go shopping plays gian instead mother asks doraemon husband decline doraemon shopping list sees dorayaki snack favourite food suneo shows diving photos palau gian shizuka nobita wants go suneos house see pictures unwelcome doraemon comforts nobita wants dive doraemon uses underwater pump simulator 架空水面シミュレーターポンプ pump water tokyo causing city submerge night doraemon nobita use diving mask simulator dive underwater nobita sees fish tail tells doraemon saw mermaid take pictures hear scream shadows mermaid shark appear nobitas father tells police saw shark swim past cigarette store nobita doraemon ask could see without goggles see fish still water gone boy dekisugi looks telescope sees mermaid shark nobita looks shark behind doraemon throws frog sharks mouth shark fish return ocean mermaid falls onto tree branch nobita notices fish tail beneath leaves doraemon finds girl nobitas room drinks juice begins speaking unknown language doraemon serves translation jelly thinking doraemon puffer fish introduces sophia suneo says saw shark gian explains sharks live ocean nobita arrives doraemon sophia gian suneo find attractive car nearly hits sophia doraemon grabs starts fly high sky sun makes faint dry doraemon puts anywhere door go shizukas bathroom sophia takes bath shizuka sees tiara sophia allows put explaining royal mermaid symbol nobita asks doraemon mermaids exist explaining met sophia mermaid tail instead legs doraemons sister dorami comes circle asks nobita draw mermaid drawing makes everyone laugh dorami explains apparitions legends animals mistaken mermaids shizuka tells sophia wash clothes sophia tells doramis bedroom scream heard get bathroom shizuka mermaid sophia underwater doraemon copies sophias clothes uses familiar light help breathe underwater become mermaids using watertight rope keep water away sophia says doraemon powers like goddess manatia ask mermaid sword exists doraemon uses mystery ink scroll says five stars form pentagon next day dive sophias palace nobita tired sinks giant eel appears behind hide cave rescued puffer fish sophias soldiers accuse doraemon nobita gian suneo kidnapping sophia arrive home mermaid tribe put fish tank expecting eaten megaladon sophia tells puffer fish stop punishment released soldier told sophia summoned queen undine queen mermaid tribe sophias grandmother arrive palace queen undine tells sophia queen meanwhile nobita realizes left shizuka behind gian suneo go back try find however find theorize captured merman tribe soon king merman tribe arrives demands mermaid sword exchange shizuka mistaken mermaid princess wearing royal tiara doraemon creates fake nobitas toy inflated sword gives mermen get shizuka return king merman realize sword genuine troops begin attack mermaid castle sophia prays mermaid god reveals location mermaid sword however merman king steals sword uses wreak havoc creating underwater tornado doraemon lands watertight ring using day locates everybody else uses surfing board spray merman king special gas allowing see simulated water doraemon lures merman king onto island revealed mermaid sword control simulated water therefore damage merman king challenges sophia duel breaks sword doraemon uses sword round lightning defeat merman king duel sophia gets mermaid sword uses purify ocean telling doraemon true power mermaid sword afterwards doraemon nobita gian suneo shizuka return home,518,0.04351171816689058,0.4900492610837438,0.555984555984556,5.861003861003861,288,0.33976833976833976,0.26833976833976836,0.055984555984555984,33,206.5,0.06886761882524536,0.9311323811747546
American,Hanna-Barbera,jerry decides school tuffy basics outwitting cat teaching happen cat catches mad cat mouse escapes hole jerry teaches look danger leaving mousehole using mousehole facade mechanical cats paw operated crank jerry sees tuffy tuffy fail paw catches soon regrets demonstrating proper method tuffy enthusiastically smacks several times paw next lesson tuffy taught retrieve cats whisker without waking cat jerry plucking one successfully tom however tuffy manages drag tom back whiskers causing chase pair tuffy escapes pairs mousehole jerry gets left outside beaten tom tuffys next lesson jerry teaches get cheese without waking cat guarding manages get small piece ensuring tom stays asleep nap becomes dumbfounded tuffy asks somewhat sleepy tom give whole block cheese brings back eventually jerry brings tuffy final lesson tie bell around cats neck however tom fully aware jerry planning fakes sleeping plays along letting tie bell around neck time jerry realises tom actually awake quickly beaten forced return bell tied around neck tuffy nervous happens decides bring bell cautiously tom within large present delighted given gift happily puts jerry utterly humiliated happened takes diploma evading cats throws trash short later tuffy begins teaching new class cats mice friends much jerrys dislike student tom agree idea affectionately nice mouse much chagrin,204,0.080934925289764,0.3485145231112973,0.6764705882352942,5.676470588235294,138,0.3137254901960784,0.2647058823529412,0.12745098039215685,17,82.9,0.11613498678589161,0.8838650132141084
British,Herbert Wilcox,gambler recky poole james rennie accepts bet marry julie alardy anna neagle night club danseuse wedding recky unexpectedly fall love julia decides divorce go back dancing despairing recky contemplates suicide contriving make look like accident julia able collect insurance luckily returns late live life wedded bliss,46,0.18138528138528137,0.594047619047619,0.9347826086956522,5.891304347826087,43,0.2826086956521739,0.30434782608695654,0.08695652173913043,4,22.4,0.2913356519317825,0.7086643480682174
Bengali,Swapan Saha,surya jeet sportsman loves run win championships kolkata championship tour goes siliguri runs influential gang leader indrajit subrat dutta forcefully tries make sumi barsha priyadarshini wife struggle fights surya able escape siliguri sumi coming home kolkata surya hides sumi family members attempts arrange sumis departure us relatives reside indrajit goons arrive kolkata search sumi use political social influence local police locks surya eventually surja makes police officer understand loves sumi lets go since police officer old friend suryas father deepankar de surja arrives get sumi back indrajits house meanwhile indrajits goons go surjas home kidnap suryas sister surya eventually fights father gives permission fight good cause indrajit dies mother fight coincidentally,111,0.22592592592592597,0.2657407407407407,0.7477477477477478,6.063063063063063,83,0.35135135135135137,0.25225225225225223,0.07207207207207207,3,48.9,0.0887043070352065,0.9112956929647935
Russian,Aleksei Sidorov,film proceeds chronological order apart scene beginning first episode opening credits taken winter 1997 film begins 1989 sergeant alexander sasha belov nicknamed bely white finished national service soviet border troops returns home moscow greeted three childhood friends kosmos kholmogorov kosmos kosspace viktor pchyolkin pchyolabee valery filatov filphil return however shows perestroika deeply transformed soviet union life kosmos pchyola turned criminal racket moscows markets try lure sasha join belov abruptly refuses instead ambitions attain higher education vulcanology belov also learns former girlfriend yelena yeliseyeva lena lenka become prostitute enraged sasha ventures disco finds attempted conversation interrupted yelenas pimp mukha fly earlier prepared likely fight belov strikes mukha face brass knuckle resulting fracture mukhas fellow gangsters time beat sasha kosmos fil pchyola arrive rescue friend bely know mukha strong ties militsiya cousin lieutenant vladimir kaverin volodya mukhas recovery kaverin agrees cover revenge belov likely result death belov instead comes gangs gathering challenges mukha 1on1 fight latter loses fight also ends belovs relationship lenka unlike pchyola kosmos fil instead keen pursuing sporting career boxing ambitions lost doctor diagnoses early symptoms parkinsons disease allow continue boxing yet time offers compete underground mixed martial arts club fil makes fighting début supported three friends audience includes mukha decides take chance avenge belov stabbing brawl breaks among supporters brawl broken man fires several shots air causing crowd run next morning mukhas body found hangar fight took place kaverin bribes investigator consider belov prime suspect soon militsiya arrive apartment search warrant plant pistol clothes kosmos accidentally passes asked witness discovery pistol requested sign papers witness kosmos spots sasha street approaching apartment kosmos leaves hastily throws car explains happened afterwards kosmos hides sasha dacha vacation house outside moscow friends make separate statements investigator simultaneously sashas mother tries recruit lawyer also seeks help kosmoss father yuri rostislavovich member soviet academy sciences thus numerous contacts among soviet elite dacha sasha notices beautiful neighbour olga surikova immediately falls love follows violin recital moscow begins courtship date ends abruptly olga waiting sasha return repairing broken heel shoe notices wanted poster train platform face name sashas friends decide lift spirits fils sport contacts recruit group four female swimmers drive dacha party ends couples pairing sex music volume high olgas grandmother calls local militsiya sheriff arrived late break party however discerns belovs face upon returning station recognizes wanted poster immediately calls omon armed police squad arrest arrive fil kosmos drive alcohol pchyola sasha barely escape gunfirerattled dacha woods sasha takes bullet realising money kosmos arrives home drunkenly confronts father sashas mother promising everything right sasha returning country find sheriff taken hostage pchyola sasha warning report incident drive without killing meantime kosmos father spends whole night phone finally announces cleared sashas name unfortunately might year return moscow 1989 story ends top sparrow hills dawn breaks four friends overlooking panorama moscow bloodsoaked sasha swears friends always remain loyal brigada film picks 1991 viewer learns sasha one half years hiding urals decided criminal life would natural happened fil works stuntman brigada controls several autoservices markets income insignificant prominence low pchyola suggests sasha make first big move racketing chairmen pchyolas former neighbour large trading company kursinvest company owner artur despite obvious fear stricken belovs somewhathumorous methods abruptly refuses accept offer leaves belovs lawyer badly injured revenge belov hijacks arturs large shipping several train cars full aluminium tajikistan unsuccessful attempt arturs semicriminal bodyguards deal belov profile dispute catches kgbs attention agent igor vvedenskiy announces belovs talent superiors seeks permission let group develop control time artur contacts militsiya case taken captain kaverin sees perfect chance settle 1989 incident belov meantime sasha marries olga lavish reception first wedding night follow new apartment kotelnicheskaya embankment building wedding gift pchyola fil kosmos however almost ends disaster hem olgas wedding gown gets tangled wire attached pin hand grenade neatly set right across front door apartment sasha manages grab armed grenade throw stairwell neighbours dog rushed rip wire release pin afterwards kosmoss fathers apartment olga confesses sasha despite knowing still loves knowing action could carried mole sasha stages imminent departure yalta causes mole reveal afterwards driven woods killed belov openly states brigada anyone tries something like share fate kaverin shows artur picture dead mole much irritation artur failed attempt remove belov kaverin tries convince perfect evidence legally crush brigada artur refuses instant brigada burst office artur kaverin manage hide toilet kosmos bee nearly assault arturs secretary lyuda leave kaverin takes drunk arturs signature write statement yet point vvedenskys kgb move kaverin promptly discharged service simultaneously original aluminium producer tajikistan calls tajik mafia move belov hijacking deal artur paid half fee imminent gang duel bely recognises leader old army friend farkhad dzhurayev farik two instead choose turn drug trade belovs aluminium trains would used smuggle heroin tajikistan celebrate deal belovs brigada fariks godfathers go lavish restaurant witness olga performing vvedensky makes contact belov threat prison announces narcotics transited via russia return belovs agreement artur forced give position emigrate belov fully takes kursinvest including office even arturs secretary lyuda olga graduation philharmonia fails begin music career instead turns former coursemate vitalik joins band vitalik hiding attraction olga tries blackmail leaving husband openly disapproves vilalik part band makes visible whole party leave restaurant eventually sasha witnesses vitalik verbally offends olga makes suffer short fight olga happily walks sasha 1991 part film finishes olga sasha pause lovemaking become aware television broadcasting swan lake channels russian viewer know beginning 1991 august coup brought end soviet union 1993 story picks sasha returning united states olga give birth son ivan arrives constitutional coup simultaneously farik also arrives moscow sent family elders negotiate deal sell narcotics moscow rather following belovs less profitable suggestion transporting west two parties reach sashas office russian omon raid premises brigada arrested taken butyrka isolator large cell filled people swept raids including kaverin two colleagues although two parties approach describe know friends kaverin leaving mvd works private security firm criminal activities headed bek vvedenskiy realising become belov arranges release soon sasha walks learns olga given birth brigada drive hospital see army trucks removing dead white house seeing newborn son brigada come back office farik tells problems beliy kosmos pchyola agree selling drugs moscow would bring revenue sasha refuses discussion ends farik walks saying felt betrayed kosmos convinces beliy change mind stating play direct role deal know whole conversation recorded kaverin via remote surveillance equipment immediately kaverin forwards tapes bek agrees hijack deal sasha fearing clients might trap farik offers fil come along oversee exchange farik however refuses sashas worst fear comes true deal carried farik handing narcotics ferris wheel vdnkh two tajik friends receiving money outside moscow exchange tajik parties murdered sasha learns happened personally takes bodies fariks elders tajikistan belov explains father every right consider responsible alone partnership important showing fariks father photo newborn ivan former allows return moscow find responsible kaverin sceptical bek approaches brigada playing tapes convinces gathering intelligence bek knew would hijack exchange action new years eve alternates sasha olga performance tchaikovskys waltz swan lake various locations moscow bek group killed retaliation fariks death belov bored concert receives news successful operation amid final applause causes stand audience applaud bravo 1993 part film ends vvedenskiy reporting kgb kaverin seeing subject successfully played double agent bek belov personal score latter vvedenskiy proposes support kaverin counterbalance belovs growing brigade belovs group gains prominence bigger games become played contacts go beyond narcotics kaverin sets kosmos luka renowned thief law luka offers use belovs drug channels transfer arms chechnya kosmos belov however interested arms trade instead wants legalise activities befriends russian politician viktor petrovich passes set papers restoration fund grants taxfree trade alcohol tobacco however kgb fsk want arms deal progress lukas men attack sasha visiting olga ivan mothers flat belovs bodyguard max able kill two pursues remaining assassin away max hurries olga ivan safehouse outside moscow belov fil hide undisclosed flat moscow shootout gains wide coverage television vvedenskiy watches home instructs kaverin bring kosmos luka tells kosmos case belovs refusal luka remove belov altogether kosmos take despite offer kosmos breaks situation belov olga discovers ivan throat infection needs urgent operation driving local hospital escort gets caught gai checkpoint apprehended ivans operation lukas men surround small provincial hospital max defend fil unsuccessfully tries gain aid viktor petrovich luka phones belov states ultimatum belov throws phone luka tells kaverin finish kaverin hires professional sniper gang duel called tushino airfield sniper top building several kilometres away however luka killed instead sasha pchyola fil finish bodyguards lukas men leave hospital ivans operation completed afterwards beliy meets vvedensky kaverin vvedenskiy tells kaverin taking lukas activities beliy must sell weapons chechnya want repeat happened 1994 story ends belov visits mothers flat witnessing earlier assassination attempt collapsed heart attack died belov talks spirit asking forgive first chechen war broken daily radio reports russian casualties guerilla attacks kosmos feels personal initially idea weapons selling used russians pchyola takes financial side distribution causes open conflict causing sasha intervene already addict cocaine kosmos overdoses injured car accident sasha visits fathers house kosmos confesses back 1989 upon seeing mukha creep behind bely knife shot sasha forgives decides end chechen problem belov continues attempts legalising brigadas activities secures deal viktor petrovich set alcohol tobacco licenses breaking news fil go casino celebrate sasha becomes drunk bump famous film producer gordon wife actress anyuta fil knows work stuntman kaverin finalises new shipment arms chechnya agreeing route goes casino crosses paths belov begin argue mutual dislike kaverin confesses influence search house 1989 included false extraction pistol bely breaks bottle champagne volodyas head upon leaving casino bely sees anyutas look comes back place beginning affair next morning discovers gordon homosexual marriage merely convenience kaverin heads chechnya meets insurgent militants delivery arms intercepted army spetsnaz commandos kill militants destroy trucks back moscow frantic pchyola waiting call confirm deal told everything destroyed sasha reaffirms despite 11 million usd lost good nonetheless viktor petrovich thanks sasha information given reassures nothing fear vvedenskys side belov meets vvedensky front home realizing vvedensky shocked belov knows lives sasha tells children wants coexist vvedensky acknowledges even manipulated bely agrees stopping arms flow right thing 1995 part film ends blood soaked kaverin despite taking two sniper bullets limping next burnt village russian army btr patrol pulls soldiers rescue previous events brigada begins cool fil successful part stuntman new production gordon highlander sasha maintains affair gordons wife anyuta main role film particularly good stunt fila borrows camcorder anyuta show ivan returns olga america also takes head mannequin fil drives olga ivan home catches rest brigada night club pchyola negotiates new money laundering deal caucasus mafia bely refuses accept principles continuing legal profile business pchyola much dismay kosmos decides follow alone travels airport brigada caucasians pchyola departs airport catch flight germany fil drives kosmos sasha back office three notice wristwatch arms accelerate radio begins glitch split second decision sasha yells everyone jump kosmos roll onto snowcovered street fil however hesitates jumps seconds large mercedes explodes scene shown opening credits first episode unconscious rushed hospital spends several hours surgery serious head injuries kosmos convinces sasha pchyola one could carried death hell everything didnt sit car send head security shmit men former thugs find pchyola soon learns attack arrives airport catches first taxi back moscow night falls fil still surgery olga meanwhile learning drive maks ivans personal bodyguard kutuzovsky prospekt pchyola catches tells phone tell max asks stop pharmacy come alone tells camcorder fil borrowed remained turned right anyutas house fil returned realizing gordons camera max upon seeing pchyola immediately calls shmit arrives brings hospital olga meanwhile comes anyutas home confronts forcing abandon affair sasha return camera hospital pchyola met bely kosmos holding pistols interrupted nurse asking anyone type b negative blood fil sasha points pchyola makes transfusion still unconscious fila operation finally completed kosmos tells bely courage kill pchyola sasha replies neither kos advices sasha shmit calm nerves sasha asks kosmos cocaine stating spent many years selling never tried though second attempt feels nothing moment olga maks burst camcorder sasha shouts olga maks intervenes plays tape shows gordon plants bomb inside head mannequin fil brought kosmos remembers gordon borrowed half million fil lacked means pay realizing happened kosmos pleads pchyola mistake 1997 part film ends olga walks drunken kosmos sasha pchyola tells fil coma year passed fil still coma doctors try persuade wife tamara turn feeding tube little chance recovery learning belov though agreeing transferring private clinic decides avenge friend gordon makes successful popular premiere new picture celebrate meets homosexual date drive gay club leave car young lad passes regards sasha bely strangles gordon death murder famous film producer generates massive media outrage mafia olga takes ivan leaves sasha belov comes dacha grandmother still lives almost forcefully assaults olga militsiya arrive sasha recognises militsiya sheriff 1989 turns back station drink dance telling life stories militsiya officer demonstrates old wanted poster belov sets making photocopies awaits belovs eyes grow shock sees election poster kaverins face kaverin survived chechnya running state duma upcoming majoritarian election shmit pchyola kosmos pay gordons assassin leaves cafe sobr unit arrests drives woods three forced dig grave gunpoint sobr gunmen open fire empty trees right heads walk leaving three find way three dirty men arrive back office belov enquires event viktor petrovich tells carried militsiya commander gordons death sends warning still law order could crush bely brigada happen bely confronts commander telling necessary friend gets phone call hospital complications fil leaving commander takes russian orthodox cross sobr took friends 1998 part ends sasha visits fil finds surrounded doctors kneels fil seeing eyes open whispers brother tear flows fils eyes belov makes mind run kaverin december 1999 elections scheduled early spring 2000 kaverin belov try outdo vvedensky decides act pushes two closer confrontation kaverin plays discrediting opponent smear belovs image provocative poster brotherhood fighting power belov holding pistol issued typography printed set fire one day belov family arrive home television set playing police surveillance reels early 1990s showing brigada involved racket kaverin rings belov bug found belovs office press conference kaverin demonstrates artur public tells belovs criminal gang forced russia took business 1991 kaverins public biography based real officer died chechnya given vvedensky vvedensky warns volodya public finds would used belys campaign focuses social problems men deliver presents poor sponsors construction orthodox churches win support tries reunite olga dinner together breaks dacha hid 1989 tells thoughts discussion turns lovemaking elections near two candidates engage television debate ask piercing questions cloudy past kaverin decides play trump card cassette early 1990s recordings however instead scene godfather played much amusement viewers belov takes initiative states reel played one thousands could admits past states mess forced take actions caused top government pawn swept new world furthermore appeals important present everybody wants live better country necessary actions past would remain soon elections come despite kaverins early lead belov clips narrow margin last moment wins vote celebration follows belovs office kosmos proposes lyuda arturs original secretary worked since 1991 phone call follows sasha olga way pchyola kosmos come snowcovered courtyard greet see sashas red armoured suv driven alone maks climbs stabs two bely arrives later shocked happened dawn belov also learns fil still recovering hospital wife tamara also killed clinic wall sign gorge beast russian жри тварь written blood maks nowhere found meeting vvedensky sasha learns maksim karelskiy despite working eight years belov several times rescuing family pchyola bely nonetheless mole kaverin since 1991 originally crossed paths chechen mafia kaverin paid ransom used infiltrate brigada vvedensky along viktor petrovich whole underground criminal world even yuri rostislavovich kosmoss father ask belov seek revenge sasha says cant accept first rattles kaverins apartment pkm message avenge final stunt contacts old friend viewer saw throughout film karate trainer stuntman alexander inshakov originally meet back 1989 sasha bought mastiff 1991 offered train men refused inshakov fils close friend stunt work gordon shortly gordons death asked film reels make tribute stuntman filatov sasha visits morgue already four coffins prepared funeral symbolically adds three pistols hands friends next day kosmoss original lincoln town car shown sasha bely sends shmit cemetery says follow onwards introduces new head security saying explain everything later shmit arrives funeral service begin belov olga ivan drive onto causeway car hit m72 law falls river funeral mass announced belov killed although announced opening credits part film never announced belovs death allowed maks kaverin come hiding seeing final end lifelong rival artur engage joint business venture examining construction site soon open new shopping centre nowhere bely appears kills maks artur fellow thugs finally kaverin afterwards explains inshakov staged death car empty exploded went river film ends spring snow melted sasha visits sparrow hills time alone remembers nine years ago swore always stand brothers repeating words words adds swears never forget called brothers cracks watch railing airport olga ivan await sasha board plane leave russia final boarding called olga gets call sasha says joining right dangerous come couple months tearful olga walks airplane ivan sasha standing causeway watches airplane depart catches taxi screen turns black final credits begin roll,2802,0.03830410878320287,0.38340369850822803,0.47644539614561027,6.134189864382584,1335,0.3434379457917261,0.24607703281027105,0.09843081312410841,235,1097.3,0.490686358714436,0.5093136412855641
Chinese,Liu Fendou,film tells story punks entanglements pure young girl,8,0.15714285714285714,0.45,1.0,5.625,8,0.375,0.375,0.25,0,5.2,0.16761601670934428,0.8323839832906557
American,Steven C. Miller,early 1970s majority americans focused events vietnam united states army secretly developing way resurrect control dead bodies intention dead fight instead living experiments shut reanimated corpses unable control hunger human flesh thirty years later army decides reopen project grover city remote location would home main testing facilities without warning grover city experiments go horribly wrong reanimated corpses go rampage eating everyone sight town overtaken zombies group high school seniors take upon fight back find cure disease,76,-0.12277777777777778,0.3644444444444444,0.868421052631579,6.118421052631579,66,0.42105263157894735,0.18421052631578946,0.13157894736842105,4,35.3,0.0993726967558298,0.9006273032441703
Telugu,V. V. Vinayak,bharat balakrishna sincere dedicated police officer mumbai short span time regarded fearless officer could singlehandedly bring guilty justice preethi shreya medico daughter police commissioner prasad vizag prasad falls head heels bharat make difference storyline present stream faction backdrop movies meanwhile another super cop sivakrishna working rayalaseema region andhra pradesh becomes person news daring dashing police officer never bows head politicians inevitable sivakrishna becomes itch local faction leader dhanunjaya reddy anantraj runs parallel government region sivakrishna falls victim political clout dhanunjaya reddy demoted transferred tihar jail lower rank officer shown statue chenna kesava reddy considered man high respect region missing past 22 years sivakrishna finds chenna kesava reddy tihar jail imprisoned false case sivakrishna makes every effort get chennakesava reddy released chennakesava reddy returns village 22 years pompously welcomed one chenna kesava reddy halts factionist activities dhanunjaya reddy henchmen knowing return chenna kesava reddy wife son come see movie turns flashback chennakesava reddy shown generous revered man village rivalry venkata reddy jayaprakash reddy one worst spar rivals chennakesava reddys rivals hack entire family members death bid kill chennakesava reddy falls short wangle false case send tihar jail however chennakesava reddys wife sita tabu younger son bharat balakrishna escape attack venkata reddy men help followers reach mumbai chenna kesava reddy starts taking revenge rivals one happens none dare chenna kesava reddy seema order counter dhanunjaya reddy gets bharath posted seema movie continues son chasing father arrest father moving ahead mission revenge,239,-0.1242361111111111,0.35340277777777773,0.6652719665271967,6.2887029288702925,159,0.3807531380753138,0.20502092050209206,0.08786610878661087,9,100.0,0.07922998497386498,0.920770015026135
